Mol Form,SMILES
,CN(C)C(=O)NC1CCN(CC1)C(c2ccc(Cl)cc2)c3cccnc3
,CC(C)(C)OC(=O)NC1CCN(CC1)C(c2ccc(Cl)cc2)c3cncnc3
,FC(F)(F)c1ccc(cc1)C(NC2CCN(CC2)C(=O)c3ccccc3)c4cccnc4
,Clc1ccc(cc1)C(NC(=O)c2ccc(Cl)cc2)c3cccnc3
,Clc1ccc(cc1)C(N2CCC(CC2)NC(=O)C3CC3)c4cncnc4
,CC(C)(C)OC(=O)NC1CCN(CC1)C(c2ccc(cc2)C(F)(F)F)c3cccnc3
,CCN(CC)C(=O)N1CCC(CC1)NC(c2ccc(OC(C)C)cc2)c3cccnc3
,O=C(NC1CCN(CC1)C(c2ccc(cc2)C#N)c3cccnc3)c4ccccc4
,CS(=O)(=O)NC1CCN(CC1)C(c2cccnc2)c3ccc(Cl)cc3F
,Fc1cc(Cl)ccc1C(N2CCN(CC2)C(=O)C3CC3)c4cncnc4
,NC(=O)c1cccc(c1)C(O)(c2cccnc2)c3ccc(Cl)cc3F
,Fc1cc(ccc1C(N2CCN(CC2)C(=O)NC3CC3)c4cncnc4)C(F)(F)F
,Cc1ncsc1C(=O)N2CCN(CC2)C(c3cccnc3)c4ccc(cc4F)C(F)(F)F
,CC(C)(C)OC(=O)N1CC(CNC(c2ccc(cc2)C(F)(F)F)c3cccnc3)C1
,Cc1onc(C)c1C(=O)N2CCC(CC2)NC(c3ccc(cc3)C(F)(F)F)c4cncs4
,Fc1ccc(cc1)C(=O)N2CCC(CC2)N(c3ccc(cc3)C(F)(F)F)c4cccnc4
,FC(F)(F)c1ccc(cc1)N(C2CCN(CC2)c3ccc(cc3)C(F)(F)F)c4cccnc4
,Fc1cc(Cl)ccc1C(NC2CCN(CC2)c3ccc(Cl)cc3)c4cccnc4
,Clc1ccc(cc1)C(NC2CCN(CC2)c3nccc(n3)C#N)c4cccnc4
,FC(F)(F)c1ccc(cc1)N(CC2CCN(CC2)c3ccc(Cl)cc3)c4cccnc4
,CC(C)(C)CC(=O)N(CC1CCN(CC1)c2ccc(cc2)C(F)(F)F)c3cccnc3
,FC(F)(F)c1ccc(cc1)N2CCN(CC2)C(=O)C(c3ccc(Cl)cc3)c4cccnc4
,CN(C)S(=O)(=O)c1cccc(c1)N2CCC(CC2)N(c3ccc(cc3)C#N)c4cccnc4
,CCC(C(C)O)N1CCC(CC1)N(c2ccc(cc2)C(F)(F)F)c3cccnc3
,FC(F)(F)c1ccc(cc1)N(C2CCN(CC2)c3ccc(nc3)C(F)(F)F)c4cncnc4
,Clc1ccc(cc1)C(C(=O)N2CCN(CC2)C(=O)c3ccc(Cl)cc3)c4cccnc4
,Clc1ccc(cc1)C(C(=O)N2CCN(CC2)c3nccs3)c4cccnc4
,FC(F)(F)c1ccccc1CN2CCN(CC2)C(=O)C(c3ccc(Cl)cc3)c4cccnc4
,Clc1ccc(cc1)C(C(=O)N2[C@H](COC2=O)c3ccccc3)c4cccnc4
,CC(C)CN1CCN(CC1)C(=O)C(c2ccc(Cl)cc2)c3cccnc3
,FC(F)(F)c1ccc(cn1)N2CCN(CC2)C(=O)C(c3ccc(cc3)C#N)c4cccnc4
,FC(F)(F)c1ccc(cn1)N2CCN(CC2)C(=O)C(c3ccc(cc3)C#N)c4cccnc4
,Clc1ccc(cc1)N(C2CCN(CC2)C(=O)c3ccccc3)c4cccnc4
,CS(=O)(=O)N1CCC(CNC(c2ccc(cc2)C(F)(F)F)c3cnccn3)CC1
